symbol,Rank,Earnings Yield,Return on Capital,Total
JBH.AX,1.0,0.11616399757356898,0.910860434144176,6.0
A2M.AX,2.0,0.03507281824822809,4.117231393447151,8.0
REH.AX,3.0,0.07851076628553533,0.40839682859423676,10.0
COH.AX,4.0,0.03463451465388595,1.0907958163281468,12.0
WES.AX,5.0,0.08610033045026065,0.3318304779080252,12.0
ANO.AX,6.0,0.023332087660140048,1.2409893149043332,13.0
WOW.AX,7.0,0.06910835095471429,0.3449254154783414,13.0
ALU.AX,8.0,0.02173506581744764,2.3066652804531653,14.0
ANN.AX,9.0,0.07064537244873906,0.2671119830006456,15.0
BKL.AX,10.0,0.06146332218196669,0.33619852798418554,15.0
CSL.AX,11.0,0.02959351626125401,0.571566615482495,15.0
TCL.AX,12.0,0.02199356145511486,-2.797900262467192,24.0
Z1P.AX,13.0,-0.0010060932717526256,-0.8132388615781281,25.0
