symbol,EBIT,TEV,Net Assets and Working Capital,Earnings Yield,Return on Capital,EC_Rank,ROC_Rank,Total,Rank
A2M.AX,446352003.2527,12726436754.9149,108410715.9882,0.03507281824822809,4.117231393447151,7.0,1.0,8.0,2.0
ALU.AX,91573928.2701,4213188450.3698997,39699703.7438,0.02173506581744764,2.3066652804531653,12.0,2.0,14.0,8.0
ANN.AX,279449635.8649,3955667953.5899005,1046189065.4461001,0.07064537244873906,0.2671119830006456,4.0,11.0,15.0,9.0
ANO.AX,5819880.0,249436745.0,4689710.0,0.023332087660140048,1.2409893149043332,10.0,3.0,13.0,6.0
BKL.AX,57144000.0,929725208.0,169971000.0,0.06146332218196669,0.33619852798418554,6.0,9.0,15.0,10.0
COH.AX,413200000.0,11930295664.0,378806000.0,0.03463451465388595,1.0907958163281468,8.0,4.0,12.0,4.0
CSL.AX,3720032003.7032,125704291807.1124,6508483705.898199,0.02959351626125401,0.571566615482495,9.0,6.0,15.0,11.0
JBH.AX,400100000.0,3444268520.0,439255000.0,0.11616399757356898,0.910860434144176,1.0,5.0,6.0,1.0
REH.AX,383182000.0,4880629984.0,938259000.0,0.07851076628553533,0.40839682859423676,3.0,7.0,10.0,3.0
TCL.AX,1066000000.0,48468730368.0,-381000000.0,0.02199356145511486,-2.797900262467192,11.0,13.0,24.0,12.0
WES.AX,2944000000.0,34192667840.0,8872000000.0,0.08610033045026065,0.3318304779080252,2.0,10.0,12.0,5.0
WOW.AX,2310000000.0,33425772256.0,6697100000.0,0.06910835095471429,0.3449254154783414,5.0,8.0,13.0,7.0
Z1P.AX,-2432469.0,2417737071.0,2991088.0,-0.0010060932717526256,-0.8132388615781281,13.0,12.0,25.0,13.0
