symbol,EBIT,TEV,Net Assets and Working Capital,Earnings Yield,Return on Capital,EC_Rank,ROC_Rank,Total,Rank
A2M.AX,446352003.2527,12079890700.3817,459382527.2414,0.03695000346638866,0.971634698283044,8.0,1.0,9.0,2.0
ALU.AX,91573928.2701,4032525571.5956,95344360.4733,0.02270882766748725,0.9604545860449097,12.0,2.0,14.0,5.0
ANN.AX,279449635.8649,3520575148.2242002,1249251390.2751,0.07937613148404349,0.22369367610098226,4.0,10.0,14.0,6.0
ANO.AX,5819880.0,242289811.0,11048493.0,0.02402032498180454,0.5267578121287673,11.0,6.0,17.0,11.0
BKL.AX,57144000.0,1018754696.0,235771000.0,0.056092011378566446,0.24237077503170448,7.0,9.0,16.0,10.0
COH.AX,413200000.0,11667049824.0,442000000.0,0.03541597972351301,0.934841628959276,9.0,3.0,12.0,4.0
CSL.AX,3720032003.7032,123284596136.8293,11173820048.4814,0.030174345540901683,0.3329239228448805,10.0,7.0,17.0,12.0
JBH.AX,400100000.0,2667686368.0,540900000.0,0.1499801493906348,0.7396931040857829,1.0,4.0,5.0,1.0
REH.AX,383182000.0,4811440976.0,1831768000.0,0.07963975904751908,0.20918697127583843,3.0,11.0,14.0,7.0
RIO.AX,11669000000.0,143918609344.0,63550000000.0,0.0810805499941171,0.1836191974822974,2.0,12.0,14.0,8.0
TCL.AX,1066000000.0,51752525696.0,-1452000000.0,0.020598028514816853,-0.7341597796143251,13.0,14.0,27.0,13.0
WES.AX,2944000000.0,38120519616.0,5012000000.0,0.07722874791990873,0.587390263367917,5.0,5.0,10.0,3.0
WOW.AX,2310000000.0,33833812672.0,7197000000.0,0.06827489477447207,0.32096706961233845,6.0,8.0,14.0,9.0
Z1P.AX,-2432469.0,2236114254.0,653383637.0,-0.0010878106946676618,-0.0037228801920547636,14.0,13.0,27.0,14.0
