,Rank,Earnings Yield,Return on Capital,Total
CIM.AX,1.0,0.353961586026586,4.223748211731045,17.0
CTD.AX,2.0,0.27667678705059795,0.9651465639963763,40.0
MIN.AX,3.0,0.48205416453230415,0.6264240834081337,46.0
SSM.AX,4.0,0.22677053081409032,1.0896884777581282,46.0
SIQ.AX,5.0,0.13970884090754412,3.8382799325463743,51.0
NSR.AX,6.0,0.13357752651301338,2.251114132487348,58.0
CHC.AX,7.0,0.12245235544728689,3.1510791366906474,59.0
SUN.AX,8.0,0.11369028973232945,13.375,59.0
PDL.AX,9.0,0.12443794012536873,2.2830962968407382,60.0
NEC.AX,10.0,0.2409927263954631,0.627447468644483,63.0
PPT.AX,11.0,0.41887485441652744,0.4457211650034811,64.0
CMW.AX,12.0,0.11525392750724145,2.8163771712158807,65.0
LNK.AX,13.0,0.7098491123898523,0.39221015114785845,65.0
MGR.AX,14.0,0.1099629897840904,6.357142857142857,66.0
SUL.AX,15.0,0.24757313192312658,0.5267386392166709,67.0
JBH.AX,16.0,0.15194318541018764,0.7396931040857829,68.0
PTM.AX,17.0,0.12315838094269689,1.073776168663995,69.0
WOR.AX,18.0,1.9707774645072502,0.2718724993331555,76.0
FMG.AX,19.0,0.2485179957371602,0.4192929065465857,78.0
ELD.AX,20.0,0.23486061727881377,0.4568594016431561,79.0
NHF.AX,21.0,0.08814977902766698,14.984848484848484,79.0
HVN.AX,22.0,0.21564186547439848,0.4662285121174624,80.0
IAG.AX,23.0,0.08851025191818368,7.447513812154696,82.0
BPT.AX,24.0,0.37349253488539763,0.2667097608274079,83.0
SKC.AX,25.0,0.26802445833852406,0.35173971298068885,83.0
SXL.AX,26.0,0.175305461997241,0.4771387022364858,84.0
CCP.AX,27.0,0.1807035719401629,0.4477478788964663,88.0
QBE.AX,28.0,0.08587556888972797,2.087640449438149,95.0
COL.AX,29.0,0.12151304234526679,0.5594818524701664,97.0
ING.AX,30.0,0.3000462500463746,0.23369387086201246,98.0
ABP.AX,31.0,0.09311520966434282,0.7197544963620687,99.0
ORG.AX,32.0,0.1843677141174782,0.32171640165541276,99.0
AWC.AX,33.0,0.06812891882199291,14.012658227813132,102.0
SFR.AX,34.0,0.3073429245369313,0.21512723441462195,102.0
BAP.AX,35.0,0.1269697037862289,0.40985179685996315,105.0
GUD.AX,36.0,0.11336686883013421,0.485247478787133,106.0
MMS.AX,37.0,0.20328741826911167,0.24940024179228532,109.0
GWA.AX,38.0,0.10319942961854685,0.48098353134189326,110.0
MND.AX,39.0,0.2518195151780817,0.2129676140118969,111.0
ASB.AX,40.0,0.8008316985101028,0.14116892917530727,112.0
CPU.AX,41.0,0.09992011291125671,0.48894956459666916,113.0
CTX.AX,42.0,0.47362819736007294,0.14080600593332757,116.0
SKI.AX,43.0,0.05692502801860868,7.921584206827003,118.0
CAR.AX,44.0,0.06323693922232161,2.1065169769989045,120.0
NWH.AX,45.0,0.1670499410222272,0.23129023377544133,121.0
CSR.AX,46.0,0.311320427878061,0.1318075726141079,122.0
AGL.AX,47.0,0.19055146215419044,0.19991933315407368,125.0
RRL.AX,48.0,0.11339406066777866,0.31333049057329265,126.0
SHL.AX,49.0,0.06979737470874459,0.7424015820919208,126.0
TWE.AX,50.0,0.12164796181378963,0.26007530850389593,127.0
GMG.AX,51.0,0.06298082476345675,1.024676923076923,128.0
